Unnamed: 0,ID,Start_Time,Start_Lat,Start_Lng,City,State,Temperature(F)
60,A-61,2016-02-09 07:46:41,40.100903,-82.98410799999998,Columbus,OH,24.8
61,A-62,2016-02-09 07:54:44,39.77280800000001,-84.201851,Dayton,OH,21.2
62,A-63,2016-02-09 08:06:39,39.492485,-84.131798,Waynesville,OH,21.0
63,A-64,2016-02-09 08:12:44,39.570904,-84.251724,Springboro,OH,21.0
64,A-65,2016-02-09 08:10:20,39.834282,-82.74382,Carroll,OH,21.9
65,A-66,2016-02-09 08:23:36,39.622787,-84.229858,Miamisburg,OH,21.0
66,A-67,2016-02-09 08:24:29,39.429871,-84.079666,Oregonia,OH,21.0
67,A-68,2016-02-09 08:20:30,41.407391,-81.64676700000003,Independence,OH,32.0
68,A-69,2016-02-09 08:35:53,41.424404,-81.57867399999998,Maple Heights,OH,32.0
69,A-70,2016-02-09 10:06:46,39.89217,-83.039169,Grove City,OH,21.2
70,A-71,2016-02-09 11:09:37,41.022358,-83.650345,Findlay,OH,27.0
71,A-72,2016-02-10 06:18:16,39.206806,-84.053253,Goshen,OH,16.2
72,A-73,2016-02-10 06:06:00,39.973797,-83.022285,Columbus,OH,15.8
73,A-74,2016-02-10 06:24:29,40.048008,-82.86421999999997,Columbus,OH,15.8
74,A-75,2016-02-10 06:53:02,39.814526,-84.021744,Fairborn,OH,15.4
75,A-76,2016-02-10 07:50:52,40.151196,-84.22003199999997,Piqua,OH,14.0
76,A-77,2016-02-10 07:50:08,39.954617,-82.844238,Columbus,OH,15.1
77,A-78,2016-02-10 08:01:30,38.990551,-84.207497,New Richmond,OH,15.8
78,A-79,2016-02-10 08:08:36,40.008995,-83.002678,Columbus,OH,16.0
79,A-80,2016-02-10 08:11:22,39.077332,-84.225014,Batavia,OH,15.8
80,A-81,2016-02-10 08:50:54,39.955452,-82.795845,Reynoldsburg,OH,16.0
81,A-82,2016-02-10 09:03:53,40.224586,-82.929085,Galena,OH,17.6
82,A-83,2016-02-10 09:42:04,39.976398,-83.119225,Columbus,OH,15.8
83,A-84,2016-02-10 10:38:58,39.98560300000001,-82.939247,Columbus,OH,17.1
84,A-85,2016-02-10 17:10:00,41.040714,-81.61314399999998,Barberton,OH,19.9
85,A-86,2016-02-10 18:09:00,41.083679,-81.579002,Akron,OH,19.9
86,A-87,2016-02-10 18:41:44,40.766891,-82.42411,Mansfield,OH,16.0
87,A-88,2016-02-11 05:32:29,41.422199,-81.843018,Cleveland,OH,14.0
88,A-89,2016-02-11 05:30:51,41.063995,-81.57294499999998,Akron,OH,14.0
89,A-90,2016-02-11 06:10:07,39.747753,-84.20558199999998,Dayton,OH,7.0
90,A-91,2016-02-11 06:20:28,38.99408,-84.142021,Bethel,OH,15.4
91,A-92,2016-02-11 06:29:00,41.420818,-81.694008,Cleveland,OH,17.1
92,A-93,2016-02-11 07:17:58,40.030342,-83.030197,Columbus,OH,6.1
93,A-94,2016-02-11 07:18:39,39.858089,-82.827904,Canal Winchester,OH,5.0
94,A-95,2016-02-11 07:21:55,41.112324,-81.60992399999998,Akron,OH,12.0
95,A-96,2016-02-11 07:28:16,39.994061,-82.729416,Pataskala,OH,7.0
96,A-97,2016-02-11 07:29:06,41.355396,-81.81926700000002,Cleveland,OH,15.1
97,A-98,2016-02-11 07:53:55,39.687389,-84.23796800000002,Dayton,OH,9.0
98,A-99,2016-02-11 08:07:02,39.751038,-84.214325,Dayton,OH,7.5
99,A-100,2016-02-11 08:13:24,39.749916,-84.139359,Dayton,OH,7.5
100,A-101,2016-02-11 08:23:17,39.97509,-82.88460500000002,Columbus,OH,12.0
101,A-102,2016-02-11 08:34:14,40.11195,-83.016663,Columbus,OH,12.0
102,A-103,2016-02-11 08:29:21,41.424313,-81.57914,Maple Heights,OH,18.0
103,A-104,2016-02-11 09:16:13,39.691864,-84.211166,Dayton,OH,12.0
104,A-105,2016-02-11 09:16:13,39.769173,-84.20728299999998,Dayton,OH,10.9
105,A-106,2016-02-11 09:31:23,39.75452,-84.159279,Dayton,OH,13.6
106,A-107,2016-02-11 09:37:31,39.874947,-83.003937,Columbus,OH,10.4
107,A-108,2016-02-11 09:46:39,39.769596,-84.176964,Dayton,OH,13.6
108,A-109,2016-02-11 10:48:29,39.776417,-84.23026999999998,Dayton,OH,18.0
109,A-110,2016-02-11 10:53:56,39.64185,-84.227455,Dayton,OH,18.0
110,A-111,2016-02-11 11:21:42,39.76028400000001,-84.196434,Dayton,OH,18.5
111,A-112,2016-02-11 12:24:45,39.802528,-84.220093,Dayton,OH,19.9
112,A-113,2016-02-11 12:24:18,39.828781,-84.19839499999998,Dayton,OH,19.9
113,A-114,2016-02-11 13:44:46,39.733337,-84.180359,Dayton,OH,21.6
114,A-115,2016-02-11 14:16:49,39.759426,-84.138367,Dayton,OH,21.6
115,A-116,2016-02-11 15:34:06,39.78361500000001,-84.227531,Dayton,OH,21.0
116,A-117,2016-02-11 16:34:27,39.74004,-84.194923,Dayton,OH,21.0
117,A-118,2016-02-11 17:10:00,39.735199,-84.204948,Dayton,OH,21.0
118,A-119,2016-02-11 18:27:00,39.749035,-84.20474200000002,Dayton,OH,21.0
119,A-120,2016-02-11 19:11:00,39.969223,-82.984131,Columbus,OH,19.0
120,A-121,2016-02-11 19:22:00,39.995369,-82.985085,Columbus,OH,17.1
121,A-122,2016-02-11 20:48:00,39.744873,-84.205025,Dayton,OH,17.1
122,A-123,2016-02-12 16:16:51,39.749786,-84.199493,Dayton,OH,26.6
123,A-124,2016-02-12 16:42:52,39.780331,-84.195076,Dayton,OH,25.5
124,A-125,2016-02-12 17:47:41,40.109928,-82.97820300000002,Columbus,OH,23.0
125,A-126,2016-02-12 20:04:00,40.11195,-83.016663,Columbus,OH,19.0
126,A-127,2016-02-12 20:12:00,40.112156,-83.035072,Columbus,OH,19.0
127,A-128,2016-02-12 20:41:00,39.871761,-82.933449,Columbus,OH,19.9
128,A-129,2016-02-12 23:48:00,39.934517,-82.86065699999997,Columbus,OH,16.0
129,A-130,2016-02-13 11:05:00,40.02404,-82.99479699999998,Columbus,OH,10.0
130,A-131,2016-02-13 11:05:21,41.014015,-81.932777,Seville,OH,8.1
131,A-132,2016-02-13 11:17:01,40.575069,-82.528145,Bellville,OH,7.0
132,A-133,2016-02-13 11:25:42,39.996578,-84.21680500000002,Troy,OH,10.9
133,A-134,2016-02-13 12:56:31,39.986324,-82.985458,Columbus,OH,12.9
134,A-135,2016-02-13 12:55:47,40.013062,-82.90213,Columbus,OH,12.9
135,A-136,2016-02-14 10:13:00,39.981709,-82.98436,Columbus,OH,10.0
136,A-137,2016-02-14 10:49:23,39.953022,-82.99889399999998,Columbus,OH,12.9
137,A-138,2016-02-14 10:41:57,39.973812,-82.983162,Columbus,OH,12.9
138,A-139,2016-02-14 18:15:23,39.978306,-82.852554,Columbus,OH,15.8
139,A-140,2016-02-14 19:17:01,39.917412,-83.014236,Columbus,OH,17.6
140,A-141,2016-02-15 04:53:47,39.469582,-83.712799,Wilmington,OH,23.0
141,A-142,2016-02-15 05:22:00,39.63958,-84.234818,Miamisburg,OH,23.0
142,A-143,2016-02-15 05:42:25,39.975986,-82.996307,Columbus,OH,21.9
143,A-144,2016-02-15 06:36:00,39.951401,-83.040161,Columbus,OH,22.8
144,A-145,2016-02-15 07:02:39,39.96888,-83.022263,Columbus,OH,23.0
145,A-146,2016-02-15 07:17:51,39.804295,-84.178917,Dayton,OH,23.0
146,A-147,2016-02-15 07:15:56,39.831444,-84.097267,Dayton,OH,24.1
147,A-148,2016-02-15 07:07:00,39.890587,-83.03538499999998,Grove City,OH,24.8
148,A-149,2016-02-15 07:23:58,39.770977,-84.183914,Dayton,OH,24.8
149,A-150,2016-02-15 07:28:24,39.808121,-84.173477,Dayton,OH,24.1
150,A-151,2016-02-15 07:37:49,41.410461,-81.725853,Cleveland,OH,21.0
151,A-152,2016-02-15 07:46:58,39.747753,-84.20558199999998,Dayton,OH,24.1
152,A-153,2016-02-15 07:52:29,39.6395,-84.23136099999998,Dayton,OH,26.1
153,A-154,2016-02-15 08:00:58,39.94537,-82.88744399999999,Columbus,OH,24.1
154,A-155,2016-02-15 08:11:33,39.79813,-84.24479699999998,Dayton,OH,25.0
155,A-156,2016-02-15 08:10:15,40.081715,-82.89576,Westerville,OH,24.1
156,A-157,2016-02-15 08:15:01,41.111031,-81.550728,Akron,OH,23.0
157,A-158,2016-02-15 08:31:47,40.082016,-82.937119,Columbus,OH,26.1
158,A-159,2016-02-15 08:39:04,39.763363,-84.15535,Dayton,OH,27.0
159,A-160,2016-02-15 11:31:02,39.740063,-84.191833,Dayton,OH,32.0
160,A-161,2016-02-15 12:30:47,39.99876,-82.625221,Pataskala,OH,32.0
161,A-162,2016-02-15 12:34:50,39.740063,-84.191833,Dayton,OH,32.0
162,A-163,2016-02-15 12:53:44,39.99519,-82.86859100000002,Columbus,OH,30.9
163,A-164,2016-02-15 17:22:10,41.395805,-81.935562,North Olmsted,OH,33.1
164,A-165,2016-02-15 18:27:18,39.887058,-82.883263,Groveport,OH,33.6
165,A-166,2016-02-15 19:37:18,39.824703,-83.141228,Orient,OH,32.9
166,A-167,2016-02-15 21:09:25,40.977516,-82.790749,Tiro,OH,32.0
167,A-168,2016-02-16 04:05:51,40.11195,-83.016663,Columbus,OH,32.0
168,A-169,2016-02-16 04:32:29,41.150993,-81.631393,Akron,OH,34.0
169,A-170,2016-02-16 05:22:24,39.824703,-83.141228,Orient,OH,32.2
170,A-171,2016-02-16 05:37:52,39.885872,-82.806198,Canal Winchester,OH,32.0
171,A-172,2016-02-16 06:05:20,40.11195,-83.016663,Columbus,OH,33.1
172,A-173,2016-02-16 06:17:32,40.09917100000001,-83.134499,Dublin,OH,33.1
173,A-174,2016-02-16 06:32:55,40.012829,-83.109131,Columbus,OH,32.0
174,A-175,2016-02-16 06:29:15,40.048183,-82.945183,Columbus,OH,32.0
175,A-176,2016-02-16 06:39:15,39.77792,-84.246872,Dayton,OH,30.9
176,A-177,2016-02-16 06:34:11,39.917412,-83.014236,Columbus,OH,32.2
177,A-178,2016-02-16 06:47:00,41.313236,-81.810959,Strongsville,OH,32.0
178,A-179,2016-02-16 06:50:07,39.691998,-84.043655,Beavercreek,OH,32.0
179,A-180,2016-02-16 06:50:44,39.852417,-82.93860600000002,Groveport,OH,32.0
180,A-181,2016-02-16 07:02:31,39.956909,-83.044914,Columbus,OH,32.0
181,A-182,2016-02-16 07:10:35,39.602947,-82.951836,Circleville,OH,32.0
182,A-183,2016-02-16 07:12:17,39.89188400000001,-83.087547,Grove City,OH,32.0
183,A-184,2016-02-16 07:29:07,39.78508400000001,-84.210564,Dayton,OH,30.0
184,A-185,2016-02-16 07:52:41,40.1105,-82.977524,Columbus,OH,32.0
185,A-186,2016-02-16 07:55:23,40.757088,-82.50975,Mansfield,OH,30.0
186,A-187,2016-02-16 07:56:09,41.063995,-81.57294499999998,Akron,OH,34.0
187,A-188,2016-02-16 07:58:47,40.004749,-82.867638,Columbus,OH,32.0
188,A-189,2016-02-16 08:13:51,40.033955,-83.000862,Columbus,OH,32.0
189,A-190,2016-02-16 08:20:32,38.929512,-83.495262,Peebles,OH,30.9
190,A-191,2016-02-16 08:26:30,39.973419,-83.081558,Columbus,OH,32.0
191,A-192,2016-02-16 08:36:20,39.797958,-84.255135,Dayton,OH,30.0
192,A-193,2016-02-16 08:42:17,40.057369,-82.903717,Columbus,OH,32.0
193,A-194,2016-02-16 08:41:46,39.847927,-82.848274,Canal Winchester,OH,32.0
194,A-195,2016-02-16 08:57:31,40.051949,-83.03280600000002,Columbus,OH,32.0
195,A-196,2016-02-16 10:03:00,40.051949,-83.03280600000002,Columbus,OH,33.1
196,A-197,2016-02-16 10:58:52,39.772823,-84.135612,Dayton,OH,31.1
197,A-198,2016-02-16 11:12:18,39.673203,-84.221886,Dayton,OH,30.9
198,A-199,2016-02-16 11:11:35,39.76244000000001,-84.20506999999998,Dayton,OH,30.0
199,A-200,2016-02-16 11:10:17,39.79166,-84.169342,Dayton,OH,31.1
200,A-201,2016-02-16 11:11:03,39.72757,-84.13549,Dayton,OH,31.1
201,A-202,2016-02-16 11:32:10,40.09917100000001,-83.134499,Dublin,OH,32.0
202,A-203,2016-02-16 13:46:09,38.455898,-81.93562299999998,Hurricane,WV,35.1
203,A-204,2016-02-16 14:02:11,39.764778,-84.177193,Dayton,OH,32.4
204,A-205,2016-02-16 16:47:00,40.016014,-82.903442,Columbus,OH,32.0
205,A-206,2016-02-17 05:31:16,39.686901,-83.911812,Xenia,OH,30.4
206,A-207,2016-02-17 05:45:55,39.74403,-84.214638,Dayton,OH,30.0
207,A-208,2016-02-17 06:27:01,39.955738,-83.002953,Columbus,OH,28.4
208,A-209,2016-02-17 06:32:23,38.98587,-84.052551,Bethel,OH,30.9
209,A-210,2016-02-17 06:44:13,41.12336,-81.652626,Akron,OH,28.0
210,A-211,2016-02-17 07:10:58,41.403664,-82.13942,Elyria,OH,28.0
211,A-212,2016-02-17 07:14:08,39.719009,-84.21461500000002,Dayton,OH,30.0
212,A-213,2016-02-17 07:22:56,41.063995,-81.57294499999998,Akron,OH,28.0
213,A-214,2016-02-17 07:29:02,39.741764,-84.209923,Dayton,OH,30.0
214,A-215,2016-02-17 07:30:19,39.933804,-82.78944399999997,Pickerington,OH,30.0
215,A-216,2016-02-17 07:40:55,39.673203,-84.221886,Dayton,OH,30.0
216,A-217,2016-02-17 07:39:25,38.997852,-84.043739,Bethel,OH,31.1
217,A-218,2016-02-17 07:43:28,40.080402,-82.87745699999998,Westerville,OH,30.2
218,A-219,2016-02-17 07:52:09,41.04023,-81.608711,Barberton,OH,28.0
219,A-220,2016-02-17 08:02:55,39.749664,-84.201012,Dayton,OH,30.7
220,A-221,2016-02-17 08:04:44,39.749916,-84.139359,Dayton,OH,30.7
221,A-222,2016-02-17 07:49:00,41.039204,-81.631744,Barberton,OH,28.4
222,A-223,2016-02-17 08:17:11,40.993484,-82.03600300000002,Burbank,OH,27.0
223,A-224,2016-02-17 08:28:56,41.407391,-81.64676700000003,Independence,OH,30.0
224,A-225,2016-02-17 08:33:39,39.732441,-84.224243,Dayton,OH,30.0
225,A-226,2016-02-17 08:59:18,39.773193,-84.187454,Dayton,OH,31.1
226,A-227,2016-02-17 10:00:29,39.792931,-84.215195,Dayton,OH,32.0
227,A-228,2016-02-17 10:19:04,39.948299,-82.047081,Zanesville,OH,33.1
228,A-229,2016-02-17 10:32:29,39.67263,-84.216522,Dayton,OH,32.0
229,A-230,2016-02-17 10:22:00,41.172302,-83.64917,North Baltimore,OH,33.1
230,A-231,2016-02-17 12:57:34,39.615208,-84.22731800000003,Miamisburg,OH,35.1
231,A-232,2016-02-17 13:25:09,39.790604,-84.25140400000002,Dayton,OH,36.0
232,A-233,2016-02-17 17:17:12,39.968788,-83.003754,Columbus,OH,35.1
233,A-234,2016-02-18 04:25:02,39.905334,-82.968689,Columbus,OH,31.1
234,A-235,2016-02-18 05:46:52,39.855103,-84.183678,Dayton,OH,27.0
235,A-236,2016-02-18 06:27:59,41.414131,-81.632141,Cleveland,OH,19.0
236,A-237,2016-02-18 07:00:26,39.933804,-82.78944399999997,Pickerington,OH,28.0
237,A-238,2016-02-18 07:47:17,41.063995,-81.57294499999998,Akron,OH,3.9
238,A-239,2016-02-18 07:51:15,39.75782,-83.303154,Mount Sterling,OH,23.0
239,A-240,2016-02-18 07:49:43,41.42181,-81.734482,Cleveland,OH,12.9
240,A-241,2016-02-18 07:55:22,41.422199,-81.843018,Cleveland,OH,12.9
241,A-242,2016-02-18 07:50:11,39.819839,-84.189087,Dayton,OH,26.1
242,A-243,2016-02-18 08:01:09,39.745735,-84.120644,Dayton,OH,25.9
243,A-244,2016-02-18 08:00:26,40.004749,-82.867638,Columbus,OH,27.0
244,A-245,2016-02-18 08:15:01,39.626396,-84.20768699999998,Miamisburg,OH,27.0
245,A-246,2016-02-18 08:12:56,39.761005,-84.15855400000002,Dayton,OH,25.9
246,A-247,2016-02-18 08:15:59,39.765377,-84.155914,Dayton,OH,25.9
247,A-248,2016-02-18 08:20:00,39.936871,-82.936317,Columbus,OH,27.0
248,A-249,2016-02-18 08:22:38,41.420666,-81.81644399999998,Cleveland,OH,16.0
249,A-250,2016-02-18 08:29:38,39.607605,-84.15598299999998,Dayton,OH,28.9
250,A-251,2016-02-18 08:37:28,39.819809,-84.18710300000002,Dayton,OH,30.9
251,A-252,2016-02-18 08:39:27,41.371895,-81.820786,Cleveland,OH,16.0
252,A-253,2016-02-18 08:48:51,39.999187,-83.075813,Columbus,OH,27.0
253,A-254,2016-02-18 08:51:29,39.741695,-84.163101,Dayton,OH,30.4
254,A-255,2016-02-18 09:00:07,39.917412,-83.014236,Columbus,OH,26.6
255,A-256,2016-02-18 09:03:24,41.423275,-81.76001,Cleveland,OH,16.0
256,A-257,2016-02-18 09:25:10,39.993843,-82.985054,Columbus,OH,30.0
257,A-258,2016-02-18 09:22:26,41.36974,-81.821457,Cleveland,OH,21.9
258,A-259,2016-02-18 09:26:39,41.420506,-81.816078,Cleveland,OH,21.9
259,A-260,2016-02-18 09:26:00,41.407391,-81.64676700000003,Independence,OH,24.1
260,A-261,2016-02-18 09:45:05,39.869961,-84.137642,Dayton,OH,30.4
261,A-262,2016-02-18 10:15:59,39.75782,-83.303154,Mount Sterling,OH,32.0
262,A-263,2016-02-18 11:27:16,39.84182,-84.18960600000003,Dayton,OH,39.0
263,A-264,2016-02-18 13:44:49,39.695045,-84.10419499999998,Beavercreek,OH,37.9
264,A-265,2016-02-18 15:31:55,39.754223,-84.224075,Dayton,OH,39.9
265,A-266,2016-02-18 15:46:33,39.759544,-84.191811,Dayton,OH,39.9
266,A-267,2016-02-18 15:46:10,39.755566,-84.180534,Dayton,OH,39.9
267,A-268,2016-02-18 16:40:55,39.960938,-84.189583,Tipp City,OH,37.9
268,A-269,2016-02-18 16:43:30,39.609039,-84.155869,Dayton,OH,37.9
269,A-270,2016-02-18 17:16:50,39.953472,-82.960274,Columbus,OH,35.1
270,A-271,2016-02-18 17:24:32,40.106297,-83.036079,Columbus,OH,36.0
271,A-272,2016-02-19 04:22:53,39.812687,-84.22734799999998,Dayton,OH,39.9
272,A-273,2016-02-19 04:23:43,39.724258,-84.213142,Moraine,OH,39.9
273,A-274,2016-02-19 05:00:42,39.929554,-82.995773,Columbus,OH,35.4
274,A-275,2016-02-19 05:24:23,39.976398,-83.119225,Columbus,OH,34.9
275,A-276,2016-02-19 06:08:10,39.915928,-82.98246800000003,Columbus,OH,35.4
276,A-277,2016-02-19 06:33:33,39.009884,-84.173073,Batavia,OH,43.5
277,A-278,2016-02-19 06:36:02,39.737701,-84.134987,Dayton,OH,41.0
278,A-279,2016-02-19 07:06:51,39.974285,-82.961174,Columbus,OH,36.0
279,A-280,2016-02-19 07:23:09,40.152611,-82.686996,Johnstown,OH,37.0
280,A-281,2016-02-19 07:39:56,39.786629,-84.18869000000002,Dayton,OH,42.8
281,A-282,2016-02-19 07:38:00,40.016937,-83.156601,Hilliard,OH,37.0
282,A-283,2016-02-19 07:51:29,40.003746,-83.15389300000002,Hilliard,OH,37.0
283,A-284,2016-02-19 07:52:38,39.736061,-84.093002,Dayton,OH,42.8
284,A-285,2016-02-19 08:05:52,41.375961,-83.647453,Bowling Green,OH,43.0
285,A-286,2016-02-19 08:18:42,39.953648,-82.960373,Columbus,OH,37.0
286,A-287,2016-02-19 08:28:12,39.767757,-84.231712,Dayton,OH,47.7
287,A-288,2016-02-19 08:32:47,39.800312,-84.218811,Dayton,OH,48.0
288,A-289,2016-02-19 08:58:38,39.754055,-84.17588,Dayton,OH,47.7
289,A-290,2016-02-19 10:24:05,39.712257,-84.201782,Dayton,OH,49.6
290,A-291,2016-02-19 11:23:40,39.759201,-84.149101,Dayton,OH,53.8
291,A-292,2016-02-19 11:45:16,39.759472,-84.243698,Dayton,OH,57.0
292,A-293,2016-02-19 11:37:32,39.797668,-84.217506,Dayton,OH,57.0
293,A-294,2016-02-19 11:29:02,39.763664,-84.193298,Dayton,OH,59.4
294,A-295,2016-02-19 11:38:14,39.758121,-84.191414,Dayton,OH,59.4
295,A-296,2016-02-19 11:27:47,40.266499,-82.927544,Galena,OH,46.4
296,A-297,2016-02-19 15:12:04,40.099384,-83.155396,Dublin,OH,57.0
297,A-298,2016-02-19 15:15:38,39.981926,-83.046265,Columbus,OH,57.0
298,A-299,2016-02-19 15:30:32,39.786633,-84.170837,Dayton,OH,65.1
299,A-300,2016-02-19 16:16:51,39.765259,-84.13780200000002,Dayton,OH,65.1
300,A-301,2016-02-19 17:41:00,40.10564,-82.949692,Columbus,OH,57.0
301,A-302,2016-02-22 05:20:31,39.762531,-84.1427,Dayton,OH,29.5
302,A-303,2016-02-22 06:11:53,41.428753,-83.61036700000002,Bowling Green,OH,28.0
303,A-304,2016-02-22 06:54:32,39.985336,-82.78984100000002,Reynoldsburg,OH,30.9
304,A-305,2016-02-22 07:09:58,39.955517,-82.87687700000002,Columbus,OH,30.9
305,A-306,2016-02-22 07:14:44,39.858089,-82.827904,Canal Winchester,OH,32.0
306,A-307,2016-02-22 07:26:02,39.763615,-84.142586,Dayton,OH,28.4
307,A-308,2016-02-22 07:24:22,39.933804,-82.78944399999997,Pickerington,OH,33.1
308,A-309,2016-02-22 07:37:59,40.136345,-83.00573,Columbus,OH,28.9
309,A-310,2016-02-22 07:52:06,39.76516,-84.157234,Dayton,OH,27.9
310,A-311,2016-02-22 07:51:22,39.772438,-84.14218100000002,Dayton,OH,27.9
311,A-312,2016-02-22 08:04:43,39.981968,-83.008698,Columbus,OH,32.0
312,A-313,2016-02-22 08:13:51,39.232101,-84.16014100000002,Goshen,OH,32.5
313,A-314,2016-02-22 08:19:52,40.061661,-82.99807,Columbus,OH,28.9
314,A-315,2016-02-22 08:41:13,40.082397,-82.906921,Westerville,OH,35.1
315,A-316,2016-02-22 08:54:16,39.317173,-84.220894,Maineville,OH,36.0
316,A-317,2016-02-22 09:06:02,39.690781,-84.205147,Dayton,OH,34.0
317,A-318,2016-02-22 09:06:53,39.803726,-84.18514300000002,Dayton,OH,33.1
318,A-319,2016-02-22 09:36:13,39.838779,-84.25831600000002,Dayton,OH,36.0
319,A-320,2016-02-22 09:37:13,39.76144,-84.167038,Dayton,OH,37.0
320,A-321,2016-02-22 10:03:03,39.740906,-84.182121,Dayton,OH,37.0
321,A-322,2016-02-22 10:09:01,39.81963,-84.198273,Dayton,OH,36.0
322,A-323,2016-02-22 10:27:46,39.79969000000001,-84.186996,Dayton,OH,41.0
